"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant26","E1-SDH","SUB",99.123,341,5.23999,"SDH","Interlingual","E1",566,60,0.407346982386639,290.683284457478
"Participant26","E2-ST","SUB",96.65,345,5.4414,"SS","Interlingual","E2",775,62,0.418112286834113,280.144927536232
"Participant26","E3-LC","SUB",154.003,530,5.1434,"AC","Interlingual","E3",819,55,0.542875775521715,290.571698113208
"Participant26","C1-SDH","SUB",86.458,282,4.82164,"SDH","Intralingual","C1",479,61,0.300089897156265,306.58865248227
"Participant26","C2-ST","SUB",129.346,427,4.60979,"SS","Intralingual","C2",665,70,0.460880099768395,302.918032786885
"Participant26","C3-LC","SUB",141.503,464,4.39597,"AC","Intralingual","C3",772,118,0.452057376525462,304.963362068966
"Participant12","E1-SDH","SUB",72.204,351,4.49275,"SDH","Interlingual","E1",566,60,0.314471873312312,205.709401709402
"Participant12","E2-ST","SUB",100.403,460,4.32552,"SS","Interlingual","E2",775,62,0.505391011959892,218.267391304348
"Participant12","E3-LC","SUB",114.766,537,4.20904,"AC","Interlingual","E3",819,55,0.491595846754849,213.716945996276
"Participant32","C1-SDH","SUB",107.891,233,5.63918,"SDH","Intralingual","C1",479,61,0.472389817595909,463.051502145923
"Participant32","C2-ST","SUB",175.819,414,5.24517,"SS","Intralingual","C2",665,70,0.747777749423703,424.683574879227
"Participant32","C3-LC","SUB",203.287,390,5.30311,"AC","Intralingual","C3",772,118,0.759128421524329,521.248717948718
"Participant13","E1-LC","SUB",27.231,193,3.91583,"AC","Interlingual","E1",497,53,0.269245980739188,141.093264248705
"Participant13","E2-SDH","SUB",31.163,236,3.46118,"SDH","Interlingual","E2",912,65,0.250020057444521,132.046610169492
"Participant13","E3-ST","SUB",16.923,132,3.83062,"SS","Interlingual","E3",521,61,0.0930796647086001,128.204545454545
"Participant4","E1-LC","SUB",90.337,343,3.5709,"AC","Interlingual","E1",497,53,0.518719064735809,263.373177842566
"Participant4","E2-SDH","SUB",74.397,333,3.51848,"SDH","Interlingual","E2",912,65,0.427598455065867,223.414414414414
"Participant4","E3-ST","SUB",37.244,183,3.48816,"SS","Interlingual","E3",521,61,0.210512036445645,203.51912568306
"Participant39","E1-LC","SUB",104.389,488,3.41846,"AC","Interlingual","E1",497,53,0.458927385992447,213.911885245902
"Participant39","E2-SDH","SUB",83.958,492,3.28417,"SDH","Interlingual","E2",912,65,0.442863171220593,170.646341463415
"Participant39","E3-ST","SUB",47.887,271,3.42031,"SS","Interlingual","E3",521,61,0.217650374060304,176.70479704797
"Participant39","C1-LC","SUB",53.078,230,3.72745,"AC","Intralingual","C1",379,62,0.206563744128395,230.773913043478
"Participant39","C2-SDH","SUB",117.514,515,3.85409,"SDH","Intralingual","C2",792,75,0.462925101732906,228.182524271845
"Participant39","C3-ST","SUB",114.806,517,3.52488,"SS","Intralingual","C3",784,108,0.431452279662673,222.061895551257
"Participant33","C1-LC","SUB",11.116,53,4.62108,"AC","Intralingual","C1",379,62,0.0682591341725514,209.735849056604
"Participant33","C2-SDH","SUB",41.903,188,4.13387,"SDH","Intralingual","C2",792,75,0.341699896437279,222.88829787234
"Participant33","C3-ST","SUB",72.16,305,4.68372,"SS","Intralingual","C3",784,108,0.334112744530617,236.590163934426
"Participant33","E1-LC","SUB",41.015,193,4.29118,"AC","Interlingual","E1",497,53,0.376969173360784,212.512953367876
"Participant33","E2-SDH","SUB",12.558,63,3.91227,"SDH","Interlingual","E2",912,65,0.22100983791204,199.333333333333
"Participant33","E3-ST","SUB",21.374,110,3.90906,"SS","Interlingual","E3",521,61,0.126138248086445,194.309090909091
"Participant27","C1-LC","SUB",58.577,272,5.36364,"AC","Intralingual","C1",379,62,0.232034066151713,215.356617647059
"Participant27","C2-SDH","SUB",125.311,561,4.94059,"SDH","Intralingual","C2",792,75,0.488022494576922,223.370766488414
"Participant27","C3-ST","SUB",119.551,566,4.92409,"SS","Intralingual","C3",784,108,0.473328714243294,211.220848056537
"Participant4","C1-LC","SUB",36.747,160,3.49082,"AC","Intralingual","C1",379,62,0.211315958963978,229.66875
"Participant4","C2-SDH","SUB",87.827,446,3.27736,"SDH","Intralingual","C2",792,75,0.51992020080036,196.921524663677
"Participant4","C3-ST","SUB",140.142,469,3.41847,"SS","Intralingual","C3",784,108,0.90497684960964,298.810234541578
"Participant13","C1-LC","SUB",2.675,21,4.2012,"AC","Intralingual","C1",379,62,0.0384294908631192,127.380952380952
"Participant13","C2-SDH","SUB",15.157,108,4.09723,"SDH","Intralingual","C2",792,75,0.121464919661818,140.342592592593
"Participant13","C3-ST","SUB",5.349,50,4.14642,"SS","Intralingual","C3",784,108,0.0606593257050839,106.98
"Participant27","E1-LC","SUB",100.796,491,5.44339,"AC","Interlingual","E1",497,53,0.509248172342887,205.28716904277
"Participant27","E2-SDH","SUB",100.924,527,5.00155,"SDH","Interlingual","E2",912,65,0.54531111543366,191.506641366224
"Participant27","E3-ST","SUB",60.406,305,4.88744,"SS","Interlingual","E3",521,61,0.303995329807204,198.052459016393
"Participant46","C1-LC","SUB",61.687,243,4.11797,"AC","Intralingual","C1",379,62,0.287999962650158,253.855967078189
"Participant46","C2-SDH","SUB",60.222,311,4.17229,"SDH","Intralingual","C2",792,75,0.392919591826082,193.639871382637
